Registro de provincias con datos de la comunidad, población y superficie.
-------------------------------------------------------------------------
,Superficie (Km2),Siglas provincia,Población,Comunidad Autónoma,Cod. Comunidad Autónoma
Madrid,8027,M,6663394,COMUNIDAD DE MADRID,C14
Barcelona,7733,B,5664579,CATALUÑA,C09
Valencia,10807,V,2565124,COMUNIDAD VALENCIANA,C10
Sevilla,14036,SE,1942389,ANDALUCÍA,C01
Alicante,5817,A,1858683,COMUNIDAD VALENCIANA,C10
Málaga,7306,MA,1661785,ANDALUCÍA,C01
Murcia,11313,MU,1493898,REGIÓN DE MURCIA,C15
Cádiz,7440,CA,1240155,ANDALUCÍA,C01
Vizcaya,2217,BI,1152651,PAÍS VASCO,C17
Baleares,4991,IB,1149460,ISLAS BALEARES,C04
La Coruña,7950,C,1119596,GALICIA,C12
Las Palmas,4065,GC,1120406,CANARIAS,C05
Asturias,10603,AS,1022800,ASTURIAS,C03
Zaragoza,17274,Z,964693,ARAGÓN,C02
Pontevedra,4494,PO,942665,GALICIA,C12
Granada,12646,GR,914678,ANDALUCÍA,C01
Tarragona,6302,T,804664,CATALUÑA,C09
Córdoba,13771,CO,782979,ANDALUCÍA,C01
Gerona,5909,GI,771044,CATALUÑA,C09
Guipúzcoa,1997,SS,723576,PAÍS VASCO,C17
Almería,8775,AL,716820,ANDALUCÍA,C01
Toledo,15369,TO,694844,CASTILLA-LA MANCHA,C07
Badajoz,21766,BA,673559,EXTREMADURA,C11
Jaén,13496,J,633564,ANDALUCÍA,C01
Cantabria,5321,S,581078,CANTABRIA,C06
Castellón,6636,CS,579962,COMUNIDAD VALENCIANA,C10
Huelva,10127,H,521870,ANDALUCÍA,C01
Valladolid,8110,VA,519546,CASTILLA Y LEÓN,C08
Ciudad Real,19813,CR,495761,CASTILLA-LA MANCHA,C07
León,15580,LE,460001,CASTILLA Y LEÓN,C08
Lérida,12172,L,434930,CATALUÑA,C09
Cáceres,19868,CC,394151,EXTREMADURA,C11
Albacete,14926,AB,388167,CASTILLA-LA MANCHA,C07
Burgos,14022,BU,356958,CASTILLA Y LEÓN,C08
Álava,3037,VI,331549,PAÍS VASCO,C17
Salamanca,12349,SA,330119,CASTILLA Y LEÓN,C08
Lugo,9856,LU,329587,GALICIA,C12
La Rioja,5045,LO,316798,LA RIOJA,C13
Orense,7273,OU,307651,GALICIA,C12
Guadalajara,12214,GU,257762,CASTILLA-LA MANCHA,C07
Huesca,15636,HU,220461,ARAGÓN,C02
Cuenca,17140,CU,196329,CASTILLA-LA MANCHA,C07
Zamora,10561,ZA,172539,CASTILLA Y LEÓN,C08
Palencia,8052,P,160980,CASTILLA Y LEÓN,C08
Ávila,8050,AV,157640,CASTILLA Y LEÓN,C08
Segovia,6920,SG,153129,CASTILLA Y LEÓN,C08
Teruel,14809,TE,134137,ARAGÓN,C02
Soria,10306,SO,88636,CASTILLA Y LEÓN,C08
Melilla,0,ML,86487,MELILLA,C19
Ceuta,0,CE,84777,CEUTA,C18